id,date,pV1Curr,pV4Curr,pac,pV1Power,pV4Power,deviceTemp,rGridVolt,totalPVEnergy
1,2025-04-02 10:05:00,449.0,473.88,0.39,229.2,7.01,0.0,0.0,67.6
2,2025-04-02 10:10:00,458.0,484.69,0.43,234.5,7.17,0.0,0.0,67.6
3,2025-04-02 10:15:00,488.0,517.19,0.47,237.1,7.86,0.0,0.0,65.8
4,2025-04-02 10:20:00,491.0,520.99,0.51,237.5,8.04,0.0,0.0,64.8
5,2025-04-02 10:25:00,503.0,531.36,0.55,234.1,8.1,0.0,0.0,65.6
6,2025-04-02 10:30:00,525.0,557.33,0.59,235.4,8.47,0.0,0.0,65.8
7,2025-04-02 10:35:00,353.0,373.74,0.63,232.8,5.68,0.0,0.0,65.8
8,2025-04-02 10:40:00,153.0,163.84,0.65,231.8,2.46,0.0,0.0,66.6
9,2025-04-02 10:45:00,179.0,191.43,0.66,230.9,2.87,0.0,0.0,66.7
10,2025-04-02 10:50:00,132.0,140.43,0.68,229.6,2.05,0.0,0.0,68.5
11,2025-04-02 10:55:00,658.0,696.65,0.71,230.7,10.17,0.0,0.0,68.5
12,2025-04-02 11:00:00,618.0,653.35,0.76,229.0,9.81,0.0,0.0,66.6
13,2025-04-02 11:05:00,633.0,670.91,0.82,227.5,9.91,0.0,0.0,67.7
14,2025-04-02 11:10:00,641.0,678.96,0.87,228.8,10.35,0.0,0.0,65.6
15,2025-04-02 11:15:00,638.0,676.51,0.92,228.6,10.44,0.0,0.0,64.8
16,2025-04-02 11:20:00,664.0,702.63,0.98,230.3,10.55,0.0,0.0,66.6
17,2025-04-02 11:25:00,679.0,713.22,1.03,229.2,10.79,0.0,0.0,66.1
18,2025-04-02 11:30:00,179.0,190.9,1.09,228.6,2.91,0.0,0.0,65.6
19,2025-04-02 11:35:00,745.0,787.54,1.12,229.4,11.65,0.0,0.0,67.6
20,2025-04-02 11:40:00,637.0,671.74,1.18,228.4,10.24,0.0,0.0,65.6
21,2025-04-02 11:45:00,744.0,785.23,1.24,230.5,11.97,0.0,0.0,65.6
22,2025-04-02 11:50:00,320.0,337.66,1.28,227.9,5.07,0.0,0.0,66.6
23,2025-04-02 11:55:00,757.0,802.01,1.34,231.8,12.67,0.0,0.0,63.3
24,2025-04-02 12:00:00,777.0,822.63,1.38,232.8,11.57,0.0,0.0,71.1
25,2025-04-02 12:05:00,718.0,759.62,1.44,233.0,11.44,0.0,0.0,66.4
26,2025-04-02 12:10:00,771.0,815.33,1.51,231.6,11.92,0.0,0.0,68.4
27,2025-04-02 12:15:00,771.0,815.95,1.55,231.8,11.27,0.0,0.0,72.4
28,2025-04-02 12:20:00,769.0,812.65,1.61,231.6,11.24,0.0,0.0,72.3
29,2025-04-02 12:25:00,771.0,815.88,1.68,231.6,11.54,0.0,0.0,70.7
30,2025-04-02 12:30:00,777.0,822.67,1.74,232.8,11.94,0.0,0.0,68.9
31,2025-04-02 12:35:00,775.0,819.45,1.81,232.6,11.74,0.0,0.0,69.8
32,2025-04-02 12:40:00,765.0,807.62,1.87,232.0,11.79,0.0,0.0,68.5
33,2025-04-02 12:45:00,773.0,819.94,1.93,231.3,11.68,0.0,0.0,70.2
34,2025-04-02 12:50:00,774.0,818.4,2.0,229.6,12.0,0.0,0.0,68.2
35,2025-04-02 12:55:00,766.0,810.6,2.06,229.0,11.58,0.0,0.0,70.0
36,2025-04-02 13:00:00,769.0,813.51,2.13,231.1,11.79,0.0,0.0,69.0
37,2025-04-02 13:05:00,771.0,815.84,2.19,231.1,11.91,0.0,0.0,68.5
38,2025-04-02 13:10:00,766.0,810.57,2.25,230.7,12.08,0.0,0.0,67.1
39,2025-04-02 13:15:00,771.0,815.83,2.32,231.8,12.59,0.0,0.0,64.8
40,2025-04-02 13:20:00,776.0,821.62,2.38,229.9,12.43,0.0,0.0,66.1
41,2025-04-02 13:25:00,766.0,810.82,2.45,229.6,12.03,0.0,0.0,67.4
42,2025-04-02 13:30:00,773.0,817.38,2.51,229.6,11.95,0.0,0.0,68.4
43,2025-04-02 13:35:00,775.0,819.85,2.57,232.6,12.11,0.0,0.0,67.7
44,2025-04-02 13:40:00,777.0,822.69,2.64,233.0,12.01,0.0,0.0,68.5
45,2025-04-02 13:45:00,780.0,831.78,2.7,235.6,12.02,0.0,0.0,69.2
46,2025-04-02 13:50:00,780.0,831.74,2.77,235.4,12.16,0.0,0.0,68.4
47,2025-04-02 13:55:00,780.0,831.59,2.83,235.2,12.14,0.0,0.0,68.5
48,2025-04-02 14:00:00,780.0,828.18,2.9,233.9,12.02,0.0,0.0,68.9
49,2025-04-02 14:05:00,772.0,816.63,2.96,231.3,11.75,0.0,0.0,69.5
50,2025-04-02 14:10:00,775.0,819.85,3.03,232.6,12.11,0.0,0.0,67.7
51,2025-04-02 14:15:00,769.0,813.44,3.09,230.5,12.4,0.0,0.0,65.6
52,2025-04-02 14:20:00,770.0,814.83,3.16,231.8,12.29,0.0,0.0,66.3
53,2025-04-02 14:25:00,759.0,812.75,3.22,229.6,12.86,0.0,0.0,63.2
54,2025-04-02 14:30:00,769.0,813.44,3.28,230.9,12.71,0.0,0.0,64.0
55,2025-04-02 14:35:00,770.0,814.45,3.35,231.1,12.53,0.0,0.0,65.0
56,2025-04-02 14:40:00,768.0,812.79,3.41,231.3,12.68,0.0,0.0,64.1
57,2025-04-02 14:45:00,744.0,787.91,3.48,232.6,12.77,0.0,0.0,61.7
58,2025-04-02 14:50:00,768.0,812.45,3.54,229.6,12.48,0.0,0.0,65.1
59,2025-04-02 14:55:00,738.0,779.16,3.6,231.6,12.08,0.0,0.0,64.5
60,2025-04-02 15:00:00,503.0,530.11,3.65,231.3,8.27,0.0,0.0,64.1
61,2025-04-02 15:05:00,780.0,829.02,3.71,234.7,12.3,0.0,0.0,67.4
62,2025-04-02 15:10:00,463.0,488.63,3.76,236.4,7.37,0.0,0.0,66.3
63,2025-04-02 15:15:00,432.0,455.79,3.81,231.3,6.98,0.0,0.0,65.3
64,2025-04-02 15:20:00,668.0,706.55,3.86,232.2,10.82,0.0,0.0,65.3
65,2025-04-02 15:25:00,603.0,639.58,3.92,230.9,9.87,0.0,0.0,64.8
66,2025-04-02 15:30:00,566.0,598.75,3.97,230.5,9.24,0.0,0.0,64.8
67,2025-04-02 15:35:00,670.0,701.18,4.02,232.2,10.64,0.0,0.0,65.9
68,2025-04-02 15:40:00,480.0,507.76,4.07,231.1,7.86,0.0,0.0,64.6
69,2025-04-02 15:45:00,463.0,488.84,4.12,232.2,7.34,0.0,0.0,66.6
70,2025-04-02 15:50:00,633.0,670.91,4.16,229.9,9.91,0.0,0.0,67.7
71,2025-04-02 15:55:00,475.0,501.59,4.2,229.4,7.42,0.0,0.0,67.6
72,2025-04-02 16:00:00,653.0,690.54,4.24,232.0,10.2,0.0,0.0,67.7
73,2025-04-02 16:05:00,537.0,567.87,4.29,232.4,8.29,0.0,0.0,68.5
74,2025-04-02 16:10:00,401.0,423.33,4.33,233.0,6.18,0.0,0.0,68.5
75,2025-04-02 16:15:00,263.0,281.63,4.35,233.3,4.16,0.0,0.0,67.7
76,2025-04-02 16:20:00,321.0,339.76,4.38,233.3,4.96,0.0,0.0,68.5
77,2025-04-02 16:25:00,381.0,402.9,4.41,232.8,5.96,0.0,0.0,67.6
78,2025-04-02 16:30:00,456.0,482.96,4.44,233.7,7.03,0.0,0.0,68.7
79,2025-04-02 16:35:00,263.0,281.54,4.47,233.3,4.11,0.0,0.0,68.5
80,2025-04-02 16:40:00,235.0,250.71,4.49,230.5,3.66,0.0,0.0,68.5
81,2025-04-02 16:45:00,205.0,219.89,4.51,231.3,3.21,0.0,0.0,68.5
82,2025-04-02 16:50:00,219.0,234.57,4.52,232.0,3.47,0.0,0.0,67.6
83,2025-04-02 16:55:00,205.0,219.56,4.54,232.2,3.15,0.0,0.0,69.7
84,2025-04-02 17:00:00,195.0,208.24,4.56,232.2,3.04,0.0,0.0,68.5
85,2025-04-02 17:05:00,189.0,202.08,4.57,232.0,2.95,0.0,0.0,68.5
86,2025-04-02 17:10:00,184.0,196.04,4.59,231.6,2.9,0.0,0.0,67.6
87,2025-04-02 17:15:00,192.0,203.55,4.61,231.3,2.95,0.0,0.0,69.0
88,2025-04-02 17:20:00,183.0,195.16,4.62,229.9,2.8,0.0,0.0,69.7
89,2025-04-02 17:25:00,175.0,187.76,4.64,229.4,2.69,0.0,0.0,69.8
90,2025-04-02 17:30:00,174.0,186.85,4.65,231.1,2.76,0.0,0.0,67.7
91,2025-04-02 17:35:00,170.0,181.37,4.66,230.9,2.64,0.0,0.0,68.7
92,2025-04-02 17:40:00,159.0,169.69,4.68,232.2,2.47,0.0,0.0,68.7
93,2025-04-02 17:45:00,162.0,173.99,4.69,231.1,2.57,0.0,0.0,67.7
94,2025-04-02 17:50:00,208.0,222.66,4.71,230.3,3.19,0.0,0.0,69.8
95,2025-04-02 17:55:00,263.0,281.39,4.73,232.0,3.98,0.0,0.0,70.7
96,2025-04-02 18:00:00,239.0,256.25,4.75,232.8,3.73,0.0,0.0,68.7
97,2025-04-02 18:05:00,176.0,188.48,4.77,231.6,2.83,0.0,0.0,66.6
98,2025-04-02 18:10:00,175.0,188.24,4.78,230.3,2.74,0.0,0.0,68.7
99,2025-04-02 18:15:00,163.0,174.41,4.79,226.7,2.58,0.0,0.0,67.6
100,2025-04-02 18:20:00,196.0,209.98,4.81,227.5,2.97,0.0,0.0,70.7
101,2025-04-02 18:25:00,225.0,241.25,4.83,227.5,3.36,0.0,0.0,71.8
102,2025-04-02 18:30:00,157.0,168.17,4.84,227.7,2.31,0.0,0.0,72.8
103,2025-04-02 18:35:00,122.0,131.04,4.86,228.2,1.8,0.0,0.0,72.8
104,2025-04-02 18:40:00,115.0,122.44,4.87,226.9,1.71,0.0,0.0,71.6
105,2025-04-02 18:45:00,105.0,110.98,4.87,230.9,1.55,0.0,0.0,71.6
106,2025-04-02 18:50:00,78.0,82.58,4.88,230.1,1.24,0.0,0.0,66.6
107,2025-04-02 18:55:00,70.0,74.59,4.89,230.1,1.12,0.0,0.0,66.6
108,2025-04-02 19:00:00,81.0,86.58,4.9,230.1,1.3,0.0,0.0,66.6
109,2025-04-02 19:05:00,88.0,94.1,4.9,230.3,1.39,0.0,0.0,67.7
110,2025-04-02 19:10:00,86.0,91.38,4.91,230.1,1.37,0.0,0.0,66.7
111,2025-04-02 19:15:00,87.0,92.75,4.92,229.0,1.37,0.0,0.0,67.7
112,2025-04-02 19:20:00,94.0,100.72,4.92,226.5,1.49,0.0,0.0,67.6
113,2025-04-02 19:25:00,71.0,75.92,4.93,228.4,1.14,0.0,0.0,66.6
114,2025-04-02 19:30:00,51.0,53.4,4.94,230.7,0.79,0.0,0.0,67.6
115,2025-04-02 19:35:00,40.0,42.65,4.94,228.2,0.63,0.0,0.0,67.7
116,2025-04-02 19:40:00,39.0,40.63,4.94,227.7,0.61,0.0,0.0,66.6
117,2025-04-02 19:45:00,39.0,40.8,4.95,229.0,0.62,0.0,0.0,65.8
118,2025-04-02 19:50:00,39.0,40.63,4.95,229.0,0.61,0.0,0.0,66.6
119,2025-04-02 19:55:00,39.0,40.62,4.95,228.6,0.6,0.0,0.0,67.7
120,2025-04-02 20:00:00,39.0,40.69,4.96,229.2,0.61,0.0,0.0,66.7
121,2025-04-02 20:05:00,39.0,40.67,4.96,230.3,0.62,0.0,0.0,65.6
122,2025-04-02 20:10:00,0.0,0.0,4.96,230.7,0.0,0.0,0.0,64.3
124,2025-04-03 10:25:00,103.0,109.9,0.1,230.3,1.57,0.0,0.0,70.0
125,2025-04-03 10:30:00,94.0,100.05,0.11,228.4,1.45,0.0,0.0,69.0
126,2025-04-03 10:35:00,101.0,107.76,0.12,230.7,1.58,0.0,0.0,68.2
127,2025-04-03 10:40:00,119.0,126.64,0.13,229.9,1.83,0.0,0.0,69.2
128,2025-04-03 10:45:00,121.0,130.1,0.14,232.4,1.88,0.0,0.0,69.2
129,2025-04-03 10:50:00,126.0,134.64,0.15,235.4,1.98,0.0,0.0,68.0
130,2025-04-03 10:55:00,129.0,136.8,0.16,232.4,2.0,0.0,0.0,68.4
131,2025-04-03 11:00:00,123.0,131.63,0.17,232.8,1.93,0.0,0.0,68.2
132,2025-04-03 11:05:00,134.0,143.81,0.18,233.0,2.14,0.0,0.0,67.2
133,2025-04-03 11:10:00,120.0,128.52,0.19,233.9,1.89,0.0,0.0,68.0
134,2025-04-03 11:15:00,151.0,162.32,0.2,233.9,2.38,0.0,0.0,68.2
135,2025-04-03 11:20:00,156.0,165.92,0.21,234.7,2.44,0.0,0.0,68.0
136,2025-04-03 11:25:00,172.0,183.54,0.23,233.3,2.66,0.0,0.0,69.0
137,2025-04-03 11:30:00,197.0,210.7,0.24,232.6,3.01,0.0,0.0,70.0
138,2025-04-03 11:35:00,206.0,220.5,0.26,233.3,3.15,0.0,0.0,70.0
139,2025-04-03 11:40:00,240.0,257.04,0.28,231.8,3.78,0.0,0.0,68.0
140,2025-04-03 11:45:00,437.0,460.23,0.31,232.0,6.67,0.0,0.0,69.0
141,2025-04-03 11:50:00,358.0,379.87,0.34,232.6,5.57,0.0,0.0,68.2
142,2025-04-03 11:55:00,482.0,511.5,0.37,234.1,7.5,0.0,0.0,68.2
143,2025-04-03 12:00:00,604.0,638.4,0.42,235.2,9.5,0.0,0.0,67.2
144,2025-04-03 12:05:00,436.0,459.0,0.47,232.4,6.75,0.0,0.0,68.0
145,2025-04-03 12:10:00,441.0,466.35,0.5,233.5,6.95,0.0,0.0,67.1
146,2025-04-03 12:15:00,371.0,391.86,0.54,233.7,5.84,0.0,0.0,67.1
147,2025-04-03 12:20:00,512.0,541.5,0.58,233.5,8.07,0.0,0.0,67.1
148,2025-04-03 12:25:00,780.0,826.8,0.64,234.1,12.07,0.0,0.0,68.5
149,2025-04-03 12:30:00,774.0,816.48,0.7,233.7,12.15,0.0,0.0,67.2
150,2025-04-03 12:35:00,778.0,823.37,0.77,234.1,12.02,0.0,0.0,68.5
151,2025-04-03 12:40:00,775.0,817.36,0.83,232.2,12.02,0.0,0.0,68.0
152,2025-04-03 12:45:00,780.0,825.42,0.9,233.5,11.98,0.0,0.0,68.9
153,2025-04-03 12:50:00,776.0,821.79,0.96,233.5,11.91,0.0,0.0,69.0
154,2025-04-03 12:55:00,780.0,825.66,1.03,234.1,11.88,0.0,0.0,69.5
155,2025-04-03 13:00:00,780.0,829.33,1.09,234.5,11.95,0.0,0.0,69.4
156,2025-04-03 13:05:00,780.0,826.36,1.16,233.7,11.89,0.0,0.0,69.5
157,2025-04-03 13:10:00,780.0,835.94,1.22,236.4,12.08,0.0,0.0,69.2
158,2025-04-03 13:15:00,780.0,832.92,1.29,235.4,11.95,0.0,0.0,69.7
159,2025-04-03 13:20:00,780.0,834.88,1.35,236.4,12.03,0.0,0.0,69.4
160,2025-04-03 13:25:00,780.0,830.82,1.42,235.0,11.92,0.0,0.0,69.7
161,2025-04-03 13:30:00,780.0,834.4,1.48,236.2,11.92,0.0,0.0,70.0
162,2025-04-03 13:35:00,780.0,842.4,1.55,237.3,12.0,0.0,0.0,70.2
163,2025-04-03 13:40:00,736.0,778.9,1.61,236.2,12.02,0.0,0.0,64.8
164,2025-04-03 13:45:00,192.0,205.3,1.62,235.4,3.12,0.0,0.0,65.8
165,2025-04-03 13:50:00,187.0,200.98,1.63,235.8,2.96,0.0,0.0,67.9
166,2025-04-03 13:55:00,190.0,204.38,1.65,235.2,3.01,0.0,0.0,67.9
167,2025-04-03 14:00:00,216.0,230.83,1.67,235.8,3.36,0.0,0.0,68.7
168,2025-04-03 14:05:00,264.0,282.49,1.69,233.9,4.1,0.0,0.0,68.9
169,2025-04-03 14:10:00,225.0,239.98,1.72,234.1,3.55,0.0,0.0,67.6
170,2025-04-03 14:15:00,216.0,232.21,1.74,233.7,3.43,0.0,0.0,67.7
171,2025-04-03 14:20:00,201.0,215.78,1.76,232.8,3.15,0.0,0.0,68.5
172,2025-04-03 14:25:00,192.0,205.5,1.77,232.8,3.04,0.0,0.0,67.6
173,2025-04-03 14:30:00,200.0,214.76,1.79,232.6,3.09,0.0,0.0,69.5
174,2025-04-03 14:35:00,780.0,830.33,1.83,235.2,11.39,0.0,0.0,72.9
175,2025-04-03 14:40:00,299.0,320.83,1.89,235.0,4.81,0.0,0.0,66.7
176,2025-04-03 14:45:00,780.0,837.98,1.89,236.4,11.72,0.0,0.0,71.5
177,2025-04-03 14:50:00,142.0,151.03,1.93,233.9,2.32,0.0,0.0,65.1
178,2025-04-03 14:55:00,211.0,225.79,1.94,235.0,3.36,0.0,0.0,67.2
179,2025-04-03 15:00:00,780.0,825.86,1.98,234.7,11.9,0.0,0.0,69.4
180,2025-04-03 15:05:00,144.0,153.97,2.02,230.5,2.34,0.0,0.0,65.8
181,2025-04-03 15:10:00,144.0,153.18,2.03,230.3,2.3,0.0,0.0,66.6
182,2025-04-03 15:15:00,143.0,152.76,2.05,229.0,2.23,0.0,0.0,68.5
183,2025-04-03 15:20:00,242.0,259.69,2.07,229.2,3.78,0.0,0.0,68.7
184,2025-04-03 15:25:00,774.0,818.64,2.11,232.4,11.37,0.0,0.0,72.0
185,2025-04-03 15:30:00,629.0,665.85,2.16,232.0,9.65,0.0,0.0,69.0
186,2025-04-03 15:35:00,677.0,716.5,2.21,234.3,10.71,0.0,0.0,66.9
187,2025-04-03 15:40:00,534.0,564.95,2.26,233.7,8.47,0.0,0.0,66.7
188,2025-04-03 15:45:00,316.0,332.83,2.29,232.4,4.99,0.0,0.0,66.7
189,2025-04-03 15:50:00,332.0,350.36,2.32,229.9,5.16,0.0,0.0,67.9
190,2025-04-03 15:55:00,369.0,389.36,2.35,231.1,5.82,0.0,0.0,66.9
191,2025-04-03 16:00:00,533.0,565.31,2.39,232.2,8.45,0.0,0.0,66.9
192,2025-04-03 16:05:00,537.0,569.32,2.43,233.9,8.51,0.0,0.0,66.9
193,2025-04-03 16:10:00,580.0,613.64,2.48,232.6,9.2,0.0,0.0,66.7
194,2025-04-03 16:15:00,630.0,665.9,2.53,233.3,10.12,0.0,0.0,65.8
195,2025-04-03 16:20:00,526.0,556.01,2.57,232.2,8.45,0.0,0.0,65.8
196,2025-04-03 16:25:00,281.0,301.82,2.6,229.4,4.58,0.0,0.0,65.9
197,2025-04-03 16:30:00,245.0,262.94,2.62,228.2,3.99,0.0,0.0,65.9
198,2025-04-03 16:35:00,216.0,232.22,2.64,228.8,3.42,0.0,0.0,67.9
199,2025-04-03 16:40:00,183.0,195.55,2.66,229.6,2.88,0.0,0.0,67.9
200,2025-04-03 16:45:00,118.0,125.77,2.67,230.3,1.88,0.0,0.0,66.9
201,2025-04-03 16:50:00,78.0,82.96,2.68,232.0,1.24,0.0,0.0,66.9
202,2025-04-03 16:55:00,98.0,104.36,2.69,231.6,1.56,0.0,0.0,66.9
203,2025-04-03 17:00:00,110.0,117.39,2.7,232.2,1.76,0.0,0.0,66.7
204,2025-04-03 17:05:00,129.0,137.81,2.71,232.2,2.06,0.0,0.0,66.9
205,2025-04-03 17:10:00,141.0,151.42,2.72,232.2,2.23,0.0,0.0,67.9
206,2025-04-03 17:15:00,244.0,262.51,2.73,231.8,3.81,0.0,0.0,68.9
207,2025-04-03 17:20:00,220.0,234.78,2.76,231.1,3.52,0.0,0.0,66.7
208,2025-04-03 17:25:00,208.0,223.39,2.78,230.9,3.29,0.0,0.0,67.9
209,2025-04-03 17:30:00,179.0,190.91,2.8,231.6,2.82,0.0,0.0,67.7
210,2025-04-03 17:35:00,337.0,355.8,2.81,233.9,5.24,0.0,0.0,67.9
211,2025-04-03 17:40:00,342.0,361.91,2.84,234.5,5.33,0.0,0.0,67.9
212,2025-04-03 17:45:00,451.0,476.66,2.88,235.8,7.02,0.0,0.0,67.9
213,2025-04-03 17:50:00,213.0,228.08,2.9,236.9,3.32,0.0,0.0,68.7
214,2025-04-03 17:55:00,178.0,190.74,2.92,232.4,2.62,0.0,0.0,72.8
215,2025-04-03 18:00:00,230.0,246.04,2.94,233.3,3.48,0.0,0.0,70.7
216,2025-04-03 18:05:00,255.0,273.43,2.96,232.8,3.7,0.0,0.0,73.9
217,2025-04-03 18:10:00,179.0,192.3,2.98,232.6,2.72,0.0,0.0,70.7
218,2025-04-03 18:15:00,151.0,161.45,3.0,230.5,2.35,0.0,0.0,68.7
219,2025-04-03 18:20:00,163.0,173.81,3.01,229.9,2.53,0.0,0.0,68.7
220,2025-04-03 18:25:00,155.0,165.44,3.02,229.0,2.34,0.0,0.0,70.7
221,2025-04-03 18:30:00,161.0,172.93,3.04,230.9,2.34,0.0,0.0,73.9
222,2025-04-03 18:35:00,133.0,143.37,3.05,231.1,1.94,0.0,0.0,73.9
223,2025-04-03 18:40:00,151.0,161.55,3.06,229.4,2.25,0.0,0.0,71.8
224,2025-04-03 18:45:00,126.0,134.87,3.07,228.4,1.85,0.0,0.0,72.9
225,2025-04-03 18:50:00,109.0,116.64,3.08,229.9,1.6,0.0,0.0,72.9
226,2025-04-03 18:55:00,102.0,108.89,3.09,226.7,1.56,0.0,0.0,69.8
227,2025-04-03 19:00:00,93.0,99.8,3.1,227.5,1.39,0.0,0.0,71.8
228,2025-04-03 19:05:00,71.0,75.57,3.1,226.9,1.1,0.0,0.0,68.7
229,2025-04-03 19:10:00,65.0,67.87,3.11,227.9,1.01,0.0,0.0,67.2
230,2025-04-03 19:15:00,50.0,52.72,3.11,229.0,0.8,0.0,0.0,65.9
231,2025-04-03 19:20:00,47.0,49.43,3.12,227.7,0.75,0.0,0.0,65.9
232,2025-04-03 19:25:00,44.0,46.69,3.12,229.4,0.7,0.0,0.0,66.7
233,2025-04-03 19:30:00,41.0,43.28,3.13,228.8,0.67,0.0,0.0,64.6
234,2025-04-03 19:35:00,39.0,40.86,3.13,228.8,0.62,0.0,0.0,65.9
235,2025-04-03 19:40:00,39.0,40.82,3.13,229.2,0.63,0.0,0.0,64.8
236,2025-04-03 19:45:00,39.0,40.8,3.14,228.4,0.62,0.0,0.0,65.8
237,2025-04-03 19:50:00,39.0,40.69,3.14,230.9,0.61,0.0,0.0,66.7
238,2025-04-03 19:55:00,39.0,40.8,3.14,230.9,0.62,0.0,0.0,65.8
239,2025-04-03 20:00:00,39.0,40.8,3.15,230.3,0.62,0.0,0.0,65.8
240,2025-04-03 20:05:00,39.0,40.69,3.15,229.0,0.61,0.0,0.0,66.7
241,2025-04-03 20:10:00,39.0,40.86,3.15,227.3,0.62,0.0,0.0,65.9
242,2025-04-03 20:15:00,39.0,40.8,3.16,227.7,0.62,0.0,0.0,65.8
243,2025-04-03 20:20:00,39.0,40.8,3.16,227.5,0.62,0.0,0.0,65.8
244,2025-04-03 20:25:00,39.0,40.8,3.16,229.2,0.62,0.0,0.0,65.8
245,2025-04-03 20:30:00,39.0,40.82,3.16,229.4,0.63,0.0,0.0,64.8
246,2025-04-03 20:35:00,39.0,40.8,3.17,227.7,0.62,0.0,0.0,65.8
247,2025-04-04 20:35:00,39.0,40.8,3.17,227.7,0.62,0.0,0.0,65.8
248,2025-04-05 08:40:00,0.0,0.0,0.0,228.4,0.0,0.0,0.0,67.4
249,2025-04-04 08:40:00,0.0,0.0,0.0,228.4,0.0,0.0,0.0,67.4
250,2025-04-04 08:45:00,0.0,0.0,0.0,229.2,0.0,0.0,0.0,69.4
251,2025-04-04 08:50:00,0.0,0.0,0.0,230.1,0.0,0.0,0.0,70.0
252,2025-04-04 08:55:00,0.0,0.0,0.0,230.9,0.0,0.0,0.0,71.0
253,2025-04-04 09:00:00,0.0,0.0,0.0,230.7,0.0,0.0,0.0,72.4
254,2025-04-04 09:05:00,39.0,40.87,0.0,229.4,0.67,0.0,0.0,61.0
255,2025-04-04 09:10:00,39.0,40.87,0.0,231.6,0.67,0.0,0.0,61.0
256,2025-04-04 09:15:00,39.0,40.8,0.0,232.2,0.67,0.0,0.0,60.9
257,2025-04-04 09:20:00,39.0,40.8,0.01,229.2,0.67,0.0,0.0,60.9
258,2025-04-04 09:25:00,57.0,60.61,0.01,230.7,0.91,0.0,0.0,66.6
259,2025-04-04 09:30:00,76.0,80.56,0.01,231.6,1.19,0.0,0.0,67.7
260,2025-04-04 09:35:00,85.0,90.58,0.02,231.6,1.34,0.0,0.0,67.6
261,2025-04-04 09:40:00,87.0,92.75,0.03,234.5,1.37,0.0,0.0,67.7
262,2025-04-04 09:45:00,91.0,96.81,0.04,233.5,1.43,0.0,0.0,67.7
263,2025-04-04 09:50:00,95.0,101.47,0.04,230.5,1.51,0.0,0.0,67.2
264,2025-04-04 09:55:00,92.0,97.57,0.05,229.4,1.41,0.0,0.0,69.2
265,2025-04-04 10:00:00,89.0,94.52,0.06,230.1,1.43,0.0,0.0,66.1
266,2025-04-04 10:05:00,95.0,101.47,0.07,231.3,1.51,0.0,0.0,67.2
267,2025-04-04 10:10:00,108.0,115.58,0.08,231.8,1.72,0.0,0.0,67.2
268,2025-04-04 10:15:00,115.0,122.76,0.08,231.3,1.8,0.0,0.0,68.2
269,2025-04-04 10:20:00,117.0,124.44,0.09,229.2,1.83,0.0,0.0,68.0
270,2025-04-04 10:25:00,114.0,121.79,0.1,228.4,1.76,0.0,0.0,69.2
271,2025-04-04 10:30:00,122.0,130.56,0.11,230.9,1.92,0.0,0.0,68.0
272,2025-04-04 10:35:00,132.0,140.76,0.12,233.0,2.07,0.0,0.0,68.0
273,2025-04-04 10:40:00,135.0,144.58,0.14,230.9,2.12,0.0,0.0,68.2
274,2025-04-04 10:45:00,154.0,164.7,0.15,230.5,2.38,0.0,0.0,69.2
275,2025-04-04 10:50:00,163.0,174.46,0.16,230.9,2.6,0.0,0.0,67.1
276,2025-04-04 10:55:00,168.0,179.92,0.17,230.7,2.6,0.0,0.0,69.2
277,2025-04-04 11:00:00,165.0,177.32,0.19,233.0,2.6,0.0,0.0,68.2
278,2025-04-04 11:05:00,161.0,172.7,0.2,231.3,2.57,0.0,0.0,67.2
279,2025-04-04 11:10:00,140.0,148.92,0.22,230.5,2.19,0.0,0.0,68.0
280,2025-04-04 11:15:00,135.0,144.16,0.23,230.5,2.12,0.0,0.0,68.0
281,2025-04-04 11:20:00,139.0,148.24,0.24,234.5,2.18,0.0,0.0,68.0
282,2025-04-04 11:25:00,161.0,173.0,0.25,234.7,2.5,0.0,0.0,69.2
283,2025-04-04 11:30:00,175.0,187.21,0.26,234.7,2.79,0.0,0.0,67.1
284,2025-04-04 11:35:00,171.0,182.78,0.28,233.7,2.72,0.0,0.0,67.2
285,2025-04-04 11:40:00,172.0,184.14,0.29,232.6,2.7,0.0,0.0,68.2
286,2025-04-04 11:45:00,220.0,235.28,0.31,231.3,3.46,0.0,0.0,68.0
287,2025-04-04 11:50:00,243.0,260.52,0.33,230.1,3.82,0.0,0.0,68.2
288,2025-04-04 11:55:00,271.0,291.33,0.35,232.0,4.21,0.0,0.0,69.2
289,2025-04-04 12:00:00,277.0,296.01,0.37,233.3,4.29,0.0,0.0,69.0
290,2025-04-04 12:05:00,395.0,417.36,0.41,233.9,6.22,0.0,0.0,67.1
291,2025-04-04 12:10:00,424.0,448.23,0.44,234.1,6.68,0.0,0.0,67.1
292,2025-04-04 12:15:00,676.0,715.45,0.48,233.0,10.99,0.0,0.0,65.1
293,2025-04-04 12:20:00,438.0,462.7,0.52,232.4,7.0,0.0,0.0,66.1
294,2025-04-04 12:25:00,276.0,295.7,0.55,234.3,4.46,0.0,0.0,66.3
295,2025-04-04 12:30:00,384.0,407.08,0.59,234.1,6.14,0.0,0.0,66.3
296,2025-04-04 12:35:00,605.0,639.82,0.63,233.9,10.06,0.0,0.0,63.6
297,2025-04-04 12:40:00,779.0,826.25,0.68,234.3,12.89,0.0,0.0,64.1
