id,runningState,nowPower,totalLoadPower,todayElectricity,monthElectricity,yearElectricity,totalElectricity,income,todayGridIncome,devOnlineNum,devTotalNum,totalPlantTreeNum,totalReduceCo2,todayAlarmNum,lastUploadTime,userType
1,1,0.0,0.0,1.72,43.93,43.93,74.06,14.81,0.34,1,1,0.13,0.07,2,2025-01-27 17:31:12,2
2,1,0.0,0.0,1.72,43.93,43.93,74.06,14.81,0.34,1,1,0.13,0.07,2,2025-01-27 17:35:56,2
3,1,0.0,0.0,1.72,43.93,43.93,74.06,14.81,0.34,1,1,0.13,0.07,2,2025-01-27 17:40:35,2
4,1,0.0,0.0,1.72,43.93,43.93,74.06,14.81,0.34,1,1,0.13,0.07,2,2025-01-27 17:46:10,2
5,1,0.0,0.0,1.72,43.93,43.93,74.06,14.81,0.34,1,1,0.13,0.07,2,2025-01-27 17:50:44,2
6,3,0.0,0.0,0.0,45.24,45.24,75.37,15.07,0.0,0,1,0.13,0.08,0,2025-01-28 18:05:35,2
7,1,0.0,0.0,0.0,45.24,45.24,75.37,15.07,0.0,1,1,0.13,0.08,0,2025-01-29 09:20:10,2
8,1,0.0,0.0,0.0,45.24,45.24,75.37,15.07,0.0,1,1,0.13,0.08,0,2025-01-29 09:20:41,2
9,1,0.0,0.0,0.0,45.24,45.24,75.37,15.07,0.0,1,1,0.13,0.08,0,2025-01-29 09:21:11,2
10,1,0.0,0.0,0.0,45.24,45.24,75.37,15.07,0.0,1,1,0.13,0.08,0,2025-01-29 09:21:40,2
11,1,0.0,0.0,0.0,45.24,45.24,75.37,15.07,0.0,1,1,0.13,0.08,0,2025-01-29 09:25:30,2
12,1,0.0,0.0,0.0,45.24,45.24,75.37,15.07,0.0,1,1,0.13,0.08,0,2025-01-29 09:30:46,2
13,1,0.0,0.0,0.0,45.24,45.24,75.37,15.07,0.0,1,1,0.13,0.08,0,2025-01-29 09:35:24,2
14,1,0.0,0.0,0.0,45.24,45.24,75.37,15.07,0.0,1,1,0.13,0.08,0,2025-01-29 09:40:47,2
15,1,0.0,0.0,0.0,45.24,45.24,75.37,15.07,0.0,1,1,0.13,0.08,0,2025-01-29 09:45:43,2
16,1,0.0,0.0,0.0,45.24,45.24,75.37,15.07,0.0,1,1,0.13,0.08,0,2025-01-29 09:50:56,2
17,1,0.0,0.0,0.0,45.24,45.24,75.37,15.07,0.0,1,1,0.13,0.08,0,2025-01-29 09:55:39,2
18,1,39.0,0.0,0.0,45.24,45.24,75.37,15.07,0.0,1,1,0.13,0.08,0,2025-01-29 10:00:41,2
19,1,39.0,0.0,0.0,45.24,45.24,75.37,15.07,0.0,1,1,0.13,0.08,0,2025-01-29 10:05:53,2
20,1,39.0,0.0,0.0,45.24,45.24,75.37,15.07,0.0,1,1,0.13,0.08,0,2025-01-29 10:10:26,2
21,1,39.0,0.0,0.01,45.25,45.25,75.38,15.08,0.0,1,1,0.13,0.08,0,2025-01-29 10:15:36,2
22,1,39.0,0.0,0.01,45.25,45.25,75.38,15.08,0.0,1,1,0.13,0.08,0,2025-01-29 10:20:57,2
23,1,39.0,0.0,0.01,45.25,45.25,75.38,15.08,0.0,1,1,0.13,0.08,0,2025-01-29 10:27:08,2
24,1,39.0,0.0,0.02,45.26,45.26,75.39,15.08,0.0,1,1,0.13,0.08,0,2025-01-29 10:30:41,2
25,3,0.0,0.0,0.02,45.26,45.26,75.39,15.08,0.0,0,1,0.13,0.08,0,2025-01-29 10:38:11,2
26,3,0.0,0.0,0.02,45.26,45.26,75.39,15.08,0.0,0,1,0.13,0.08,0,2025-01-29 10:38:33,2
27,3,0.0,0.0,0.02,45.26,45.26,75.39,15.08,0.0,0,1,0.13,0.08,0,2025-01-29 10:39:11,2
28,3,0.0,0.0,0.02,45.26,45.26,75.39,15.08,0.0,0,1,0.13,0.08,0,2025-01-29 10:39:20,2
29,3,0.0,0.0,0.02,45.26,45.26,75.39,15.08,0.0,0,1,0.13,0.08,0,2025-01-29 10:39:31,2
30,3,0.0,0.0,0.02,45.26,45.26,75.39,15.08,0.0,0,1,0.13,0.08,0,2025-01-29 10:40:42,2
31,1,39.0,0.0,0.02,45.26,45.26,75.39,15.08,0.0,1,1,0.13,0.08,0,2025-01-29 10:46:11,2
32,1,39.0,0.0,0.02,45.26,45.26,75.39,15.08,0.0,1,1,0.13,0.08,0,2025-01-29 10:50:28,2
33,1,39.0,0.0,0.02,45.26,45.26,75.39,15.08,0.0,1,1,0.13,0.08,0,2025-01-29 10:55:33,2
34,1,39.0,0.0,0.03,45.27,45.27,75.4,15.08,0.01,1,1,0.13,0.08,0,2025-01-29 11:00:35,2
35,1,49.0,0.0,0.03,45.27,45.27,75.4,15.08,0.01,1,1,0.13,0.08,0,2025-01-29 11:05:40,2
36,1,65.0,0.0,0.04,45.28,45.28,75.41,15.08,0.01,1,1,0.13,0.08,0,2025-01-29 11:11:22,2
37,1,48.0,0.0,0.04,45.28,45.28,75.41,15.08,0.01,1,1,0.13,0.08,0,2025-01-29 11:15:34,2
38,1,46.0,0.0,0.04,45.28,45.28,75.41,15.08,0.01,1,1,0.13,0.08,0,2025-01-29 11:20:46,2
39,1,42.0,0.0,0.05,45.29,45.29,75.42,15.08,0.01,1,1,0.13,0.08,0,2025-01-29 11:25:41,2
40,1,75.0,0.0,0.06,45.3,45.3,75.43,15.09,0.01,1,1,0.13,0.08,0,2025-01-29 11:37:05,2
41,1,115.0,0.0,0.07,45.31,45.31,75.44,15.09,0.01,1,1,0.13,0.08,0,2025-01-29 11:41:11,2
42,1,191.0,0.0,0.08,45.32,45.32,75.45,15.09,0.02,1,1,0.13,0.08,0,2025-01-29 11:47:09,2
43,1,96.0,0.0,0.09,45.33,45.33,75.46,15.09,0.02,1,1,0.13,0.08,0,2025-01-29 11:50:26,2
44,1,110.0,0.0,0.1,45.34,45.34,75.47,15.09,0.02,1,1,0.13,0.08,0,2025-01-29 11:55:45,2
45,1,127.0,0.0,0.11,45.35,45.35,75.48,15.1,0.02,1,1,0.13,0.08,0,2025-01-29 12:00:44,2
46,1,115.0,0.0,0.12,45.36,45.36,75.49,15.1,0.02,1,1,0.13,0.08,0,2025-01-29 12:05:36,2
47,1,90.0,0.0,0.13,45.37,45.37,75.5,15.1,0.03,1,1,0.13,0.08,0,2025-01-29 12:10:36,2
48,1,78.0,0.0,0.13,45.37,45.37,75.5,15.1,0.03,1,1,0.13,0.08,0,2025-01-29 12:15:37,2
49,1,86.0,0.0,0.14,45.38,45.38,75.51,15.1,0.03,1,1,0.13,0.08,0,2025-01-29 12:21:00,2
50,1,103.0,0.0,0.15,45.39,45.39,75.52,15.1,0.03,1,1,0.13,0.08,0,2025-01-29 12:25:45,2
51,1,100.0,0.0,0.16,45.4,45.4,75.53,15.11,0.03,1,1,0.13,0.08,0,2025-01-29 12:31:41,2
52,1,96.0,0.0,0.17,45.41,45.41,75.54,15.11,0.03,1,1,0.13,0.08,0,2025-01-29 12:35:47,2
53,1,62.0,0.0,0.17,45.41,45.41,75.54,15.11,0.03,1,1,0.13,0.08,0,2025-01-29 12:40:24,2
54,1,44.0,0.0,0.18,45.42,45.42,75.55,15.11,0.04,1,1,0.13,0.08,0,2025-01-29 12:46:40,2
55,1,39.0,0.0,0.18,45.42,45.42,75.55,15.11,0.04,1,1,0.13,0.08,0,2025-01-29 12:50:31,2
56,1,39.0,0.0,0.18,45.42,45.42,75.55,15.11,0.04,1,1,0.13,0.08,0,2025-01-29 12:55:18,2
57,1,39.0,0.0,0.19,45.43,45.43,75.56,15.11,0.04,1,1,0.13,0.08,0,2025-01-29 13:01:06,2
58,1,64.0,0.0,0.19,45.43,45.43,75.56,15.11,0.04,1,1,0.13,0.08,0,2025-01-29 13:05:46,2
59,1,42.0,0.0,0.2,45.44,45.44,75.57,15.11,0.04,1,1,0.13,0.08,0,2025-01-29 13:11:07,2
60,1,39.0,0.0,0.2,45.44,45.44,75.57,15.11,0.04,1,1,0.13,0.08,0,2025-01-29 13:16:18,2
61,1,39.0,0.0,0.2,45.44,45.44,75.57,15.11,0.04,1,1,0.13,0.08,0,2025-01-29 13:20:41,2
62,1,39.0,0.0,0.21,45.45,45.45,75.58,15.12,0.04,1,1,0.13,0.08,0,2025-01-29 13:25:35,2
63,1,39.0,0.0,0.21,45.45,45.45,75.58,15.12,0.04,1,1,0.13,0.08,0,2025-01-29 13:30:28,2
64,1,41.0,0.0,0.21,45.45,45.45,75.58,15.12,0.04,1,1,0.13,0.08,0,2025-01-29 13:35:37,2
65,1,39.0,0.0,0.22,45.46,45.46,75.59,15.12,0.04,1,1,0.13,0.08,0,2025-01-29 13:40:28,2
66,1,39.0,0.0,0.22,45.46,45.46,75.59,15.12,0.04,1,1,0.13,0.08,0,2025-01-29 13:45:40,2
67,1,70.0,0.0,0.22,45.46,45.46,75.59,15.12,0.04,1,1,0.13,0.08,0,2025-01-29 13:51:09,2
68,1,39.0,0.0,0.23,45.47,45.47,75.6,15.12,0.05,1,1,0.13,0.08,0,2025-01-29 13:56:06,2
69,1,39.0,0.0,0.23,45.47,45.47,75.6,15.12,0.05,1,1,0.13,0.08,0,2025-01-29 14:00:41,2
70,1,47.0,0.0,0.23,45.47,45.47,75.6,15.12,0.05,1,1,0.13,0.08,0,2025-01-29 14:05:40,2
71,1,51.0,0.0,0.24,45.48,45.48,75.61,15.12,0.05,1,1,0.13,0.08,0,2025-01-29 14:10:47,2
72,1,59.0,0.0,0.24,45.48,45.48,75.61,15.12,0.05,1,1,0.13,0.08,0,2025-01-29 14:15:31,2
73,1,164.0,0.0,0.25,45.49,45.49,75.62,15.12,0.05,1,1,0.13,0.08,0,2025-01-29 14:21:08,2
74,1,196.0,0.0,0.27,45.51,45.51,75.64,15.13,0.05,1,1,0.13,0.08,0,2025-01-29 14:25:30,2
75,1,220.0,0.0,0.29,45.53,45.53,75.66,15.13,0.06,1,1,0.13,0.08,0,2025-01-29 14:30:41,2
76,1,238.0,0.0,0.31,45.55,45.55,75.68,15.14,0.06,1,1,0.13,0.08,0,2025-01-29 14:35:54,2
77,1,345.0,0.0,0.33,45.57,45.57,75.7,15.14,0.07,1,1,0.13,0.08,0,2025-01-29 14:40:31,2
78,1,270.0,0.0,0.35,45.59,45.59,75.72,15.14,0.07,1,1,0.13,0.08,0,2025-01-29 14:45:24,2
79,1,372.0,0.0,0.39,45.63,45.63,75.76,15.15,0.08,1,1,0.13,0.08,0,2025-01-29 14:50:54,2
80,1,189.0,0.0,0.41,45.65,45.65,75.78,15.16,0.08,1,1,0.13,0.08,0,2025-01-29 14:55:33,2
81,1,102.0,0.0,0.42,45.66,45.66,75.79,15.16,0.08,1,1,0.13,0.08,0,2025-01-29 15:01:10,2
82,1,138.0,0.0,0.43,45.67,45.67,75.8,15.16,0.09,1,1,0.13,0.08,0,2025-01-29 15:05:35,2
83,1,102.0,0.0,0.44,45.68,45.68,75.81,15.16,0.09,1,1,0.13,0.08,0,2025-01-29 15:11:11,2
84,1,91.0,0.0,0.45,45.69,45.69,75.82,15.16,0.09,1,1,0.13,0.08,0,2025-01-29 15:16:12,2
85,1,144.0,0.0,0.46,45.7,45.7,75.83,15.17,0.09,1,1,0.13,0.08,0,2025-01-29 15:20:42,2
86,1,284.0,0.0,0.48,45.72,45.72,75.85,15.17,0.1,1,1,0.13,0.08,0,2025-01-29 15:26:32,2
87,1,194.0,0.0,0.5,45.74,45.74,75.87,15.17,0.1,1,1,0.13,0.08,0,2025-01-29 15:30:31,2
88,1,385.0,0.0,0.52,45.76,45.76,75.89,15.18,0.1,1,1,0.13,0.08,0,2025-01-29 15:35:36,2
89,1,403.0,0.0,0.55,45.79,45.79,75.92,15.18,0.11,1,1,0.13,0.08,0,2025-01-29 15:41:10,2
90,1,157.0,0.0,0.57,45.81,45.81,75.94,15.19,0.11,1,1,0.13,0.08,0,2025-01-29 15:45:23,2
91,1,117.0,0.0,0.58,45.82,45.82,75.95,15.19,0.12,1,1,0.13,0.08,0,2025-01-29 15:50:30,2
92,1,93.0,0.0,0.59,45.83,45.83,75.96,15.19,0.12,1,1,0.13,0.08,0,2025-01-29 15:55:25,2
93,1,191.0,0.0,0.6,45.84,45.84,75.97,15.19,0.12,1,1,0.13,0.08,0,2025-01-29 16:00:24,2
94,1,112.0,0.0,0.61,45.85,45.85,75.98,15.2,0.12,1,1,0.13,0.08,0,2025-01-29 16:05:32,2
95,1,105.0,0.0,0.62,45.86,45.86,75.99,15.2,0.12,1,1,0.13,0.08,0,2025-01-29 16:10:41,2
96,1,72.0,0.0,0.63,45.87,45.87,76.0,15.2,0.13,1,1,0.13,0.08,0,2025-01-29 16:15:35,2
97,1,61.0,0.0,0.64,45.88,45.88,76.01,15.2,0.13,1,1,0.13,0.08,0,2025-01-29 16:20:31,2
98,1,63.0,0.0,0.64,45.88,45.88,76.01,15.2,0.13,1,1,0.13,0.08,0,2025-01-29 16:25:37,2
99,1,42.0,0.0,0.65,45.89,45.89,76.02,15.2,0.13,1,1,0.13,0.08,0,2025-01-29 16:30:54,2
100,1,71.0,0.0,0.65,45.89,45.89,76.02,15.2,0.13,1,1,0.13,0.08,0,2025-01-29 16:35:27,2
101,1,54.0,0.0,0.66,45.9,45.9,76.03,15.21,0.13,1,1,0.13,0.08,0,2025-01-29 16:40:36,2
102,1,53.0,0.0,0.66,45.9,45.9,76.03,15.21,0.13,1,1,0.13,0.08,0,2025-01-29 16:45:28,2
103,1,45.0,0.0,0.66,45.9,45.9,76.03,15.21,0.13,1,1,0.13,0.08,0,2025-01-29 16:50:54,2
104,1,76.0,0.0,0.66,45.9,45.9,76.03,15.21,0.13,1,1,0.13,0.08,0,2025-01-29 16:55:41,2
105,1,85.0,0.0,0.67,45.91,45.91,76.04,15.21,0.13,1,1,0.13,0.08,0,2025-01-29 17:00:42,2
106,1,46.0,0.0,0.67,45.91,45.91,76.04,15.21,0.13,1,1,0.13,0.08,0,2025-01-29 17:06:20,2
107,1,39.0,0.0,0.68,45.92,45.92,76.05,15.21,0.14,1,1,0.13,0.08,0,2025-01-29 17:10:25,2
108,1,39.0,0.0,0.68,45.92,45.92,76.05,15.21,0.14,1,1,0.13,0.08,0,2025-01-29 17:15:37,2
109,1,47.0,0.0,0.68,45.92,45.92,76.05,15.21,0.14,1,1,0.13,0.08,0,2025-01-29 17:20:56,2
110,1,39.0,0.0,0.69,45.93,45.93,76.06,15.21,0.14,1,1,0.13,0.08,0,2025-01-29 17:25:40,2
111,1,39.0,0.0,0.69,45.93,45.93,76.06,15.21,0.14,1,1,0.13,0.08,0,2025-01-29 17:31:06,2
112,1,41.0,0.0,0.69,45.93,45.93,76.06,15.21,0.14,1,1,0.13,0.08,0,2025-01-29 17:35:57,2
113,1,58.0,0.0,0.7,45.94,45.94,76.07,15.21,0.14,1,1,0.13,0.08,0,2025-01-29 17:40:34,2
114,1,39.0,0.0,0.7,45.94,45.94,76.07,15.21,0.14,1,1,0.13,0.08,0,2025-01-29 17:45:36,2
115,1,39.0,0.0,0.71,45.95,45.95,76.08,15.22,0.14,1,1,0.13,0.08,0,2025-01-29 17:50:22,2
116,1,39.0,0.0,0.71,45.95,45.95,76.08,15.22,0.14,1,1,0.13,0.08,0,2025-01-29 17:55:40,2
117,1,39.0,0.0,0.71,45.95,45.95,76.08,15.22,0.14,1,1,0.13,0.08,0,2025-01-29 18:00:44,2
118,1,0.0,0.0,0.71,45.95,45.95,76.08,15.22,0.14,1,1,0.13,0.08,0,2025-01-29 18:05:56,2
119,1,0.0,0.0,0.71,45.95,45.95,76.08,15.22,0.14,1,1,0.13,0.08,0,2025-01-29 18:10:43,2
120,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:12:09,2
121,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:12:42,2
122,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:12:54,2
123,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:13:21,2
124,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:14:11,2
125,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:15:41,2
126,3,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,0,1,0.13,0.08,0,2025-01-30 09:20:08,2
127,3,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,0,1,0.13,0.08,0,2025-01-30 09:20:30,2
128,3,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,0,1,0.13,0.08,0,2025-01-30 09:21:07,2
129,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:21:47,2
130,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:25:17,2
131,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:26:15,2
132,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:26:33,2
133,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:26:40,2
134,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:27:21,2
135,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:27:52,2
136,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:28:09,2
137,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:31:08,2
138,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:31:43,2
139,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:32:20,2
140,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:32:42,2
141,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:33:06,2
142,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:35:44,2
143,3,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,0,1,0.13,0.08,0,2025-01-30 09:43:42,2
144,3,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,0,1,0.13,0.08,0,2025-01-30 09:44:11,2
145,3,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,0,1,0.13,0.08,0,2025-01-30 09:44:23,2
146,3,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,0,1,0.13,0.08,0,2025-01-30 09:45:41,2
147,3,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,0,1,0.13,0.08,0,2025-01-30 09:51:17,2
148,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 09:55:25,2
149,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 10:00:38,2
150,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 10:05:38,2
151,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 10:10:46,2
152,3,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,0,1,0.13,0.08,0,2025-01-30 10:17:11,2
153,3,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,0,1,0.13,0.08,0,2025-01-30 10:17:23,2
154,3,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,0,1,0.13,0.08,0,2025-01-30 10:17:41,2
155,3,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,0,1,0.13,0.08,0,2025-01-30 10:18:06,2
156,3,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,0,1,0.13,0.08,0,2025-01-30 10:18:33,2
157,3,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,0,1,0.13,0.08,0,2025-01-30 10:20:25,2
158,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 10:22:26,2
159,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 10:23:25,2
160,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 10:24:07,2
161,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 10:25:07,2
162,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 10:25:33,2
163,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 10:25:41,2
164,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 10:26:06,2
165,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 10:30:35,2
166,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 10:35:31,2
167,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 10:40:38,2
168,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 10:45:37,2
169,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 10:50:40,2
170,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 10:55:30,2
171,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 11:01:26,2
172,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 11:06:18,2
173,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 11:11:33,2
174,1,0.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 11:16:06,2
175,1,39.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 11:20:32,2
176,1,39.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 11:25:35,2
177,1,39.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 11:30:31,2
178,1,39.0,0.0,0.0,45.95,45.95,76.08,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 11:35:24,2
179,1,39.0,0.0,0.01,45.96,45.96,76.09,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 11:40:40,2
180,1,39.0,0.0,0.01,45.96,45.96,76.09,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 11:45:41,2
181,1,39.0,0.0,0.01,45.96,45.96,76.09,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 11:51:10,2
182,1,39.0,0.0,0.02,45.97,45.97,76.1,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 11:55:33,2
183,1,39.0,0.0,0.02,45.97,45.97,76.1,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 12:00:41,2
184,1,39.0,0.0,0.02,45.97,45.97,76.1,15.22,0.0,1,1,0.13,0.08,0,2025-01-30 12:05:45,2
185,1,39.0,0.0,0.03,45.98,45.98,76.11,15.22,0.01,1,1,0.13,0.08,0,2025-01-30 12:11:52,2
186,1,39.0,0.0,0.03,45.98,45.98,76.11,15.22,0.01,1,1,0.13,0.08,0,2025-01-30 12:15:40,2
187,1,39.0,0.0,0.04,45.99,45.99,76.12,15.22,0.01,1,1,0.13,0.08,0,2025-01-30 12:27:11,2
188,1,39.0,0.0,0.04,45.99,45.99,76.12,15.22,0.01,1,1,0.13,0.08,0,2025-01-30 12:31:15,2
189,1,39.0,0.0,0.04,45.99,45.99,76.12,15.22,0.01,1,1,0.13,0.08,0,2025-01-30 12:35:26,2
190,1,47.0,0.0,0.05,46.0,46.0,76.13,15.23,0.01,1,1,0.13,0.08,0,2025-01-30 12:40:27,2
191,1,39.0,0.0,0.05,46.0,46.0,76.13,15.23,0.01,1,1,0.13,0.08,0,2025-01-30 12:45:26,2
192,1,39.0,0.0,0.05,46.0,46.0,76.13,15.23,0.01,1,1,0.13,0.08,0,2025-01-30 12:50:35,2
193,1,39.0,0.0,0.06,46.01,46.01,76.14,15.23,0.01,1,1,0.13,0.08,0,2025-01-30 12:55:45,2
194,1,39.0,0.0,0.06,46.01,46.01,76.14,15.23,0.01,1,1,0.13,0.08,0,2025-01-30 13:00:31,2
195,1,39.0,0.0,0.06,46.01,46.01,76.14,15.23,0.01,1,1,0.13,0.08,0,2025-01-30 13:05:52,2
196,1,39.0,0.0,0.07,46.02,46.02,76.15,15.23,0.01,1,1,0.14,0.08,0,2025-01-30 13:11:17,2
197,1,56.0,0.0,0.07,46.02,46.02,76.15,15.23,0.01,1,1,0.14,0.08,0,2025-01-30 13:16:08,2
198,1,55.0,0.0,0.08,46.03,46.03,76.16,15.23,0.02,1,1,0.14,0.08,0,2025-01-30 13:20:43,2
199,1,64.0,0.0,0.08,46.03,46.03,76.16,15.23,0.02,1,1,0.14,0.08,0,2025-01-30 13:25:41,2
200,1,83.0,0.0,0.09,46.04,46.04,76.17,15.23,0.02,1,1,0.14,0.08,0,2025-01-30 13:30:36,2
201,1,107.0,0.0,0.09,46.04,46.04,76.17,15.23,0.02,1,1,0.14,0.08,0,2025-01-30 13:35:33,2
202,1,134.0,0.0,0.1,46.05,46.05,76.18,15.24,0.02,1,1,0.14,0.08,0,2025-01-30 13:41:37,2
203,1,96.0,0.0,0.11,46.06,46.06,76.19,15.24,0.02,1,1,0.14,0.08,0,2025-01-30 13:45:36,2
204,1,104.0,0.0,0.12,46.07,46.07,76.2,15.24,0.02,1,1,0.14,0.08,0,2025-01-30 13:50:36,2
205,1,376.0,0.0,0.14,46.09,46.09,76.22,15.24,0.03,1,1,0.14,0.08,0,2025-01-30 13:55:53,2
206,1,240.0,0.0,0.17,46.12,46.12,76.25,15.25,0.03,1,1,0.14,0.08,0,2025-01-30 14:01:10,2
207,1,275.0,0.0,0.19,46.14,46.14,76.27,15.25,0.04,1,1,0.14,0.08,0,2025-01-30 14:05:45,2
208,1,579.0,0.0,0.23,46.18,46.18,76.31,15.26,0.05,1,1,0.14,0.08,0,2025-01-30 14:10:52,2
209,1,254.0,0.0,0.27,46.22,46.22,76.35,15.27,0.05,1,1,0.14,0.08,0,2025-01-30 14:15:28,2
210,1,121.0,0.0,0.29,46.24,46.24,76.37,15.27,0.06,1,1,0.14,0.08,0,2025-01-30 14:20:59,2
211,1,165.0,0.0,0.3,46.25,46.25,76.38,15.28,0.06,1,1,0.14,0.08,0,2025-01-30 14:25:47,2
212,1,153.0,0.0,0.31,46.26,46.26,76.39,15.28,0.06,1,1,0.14,0.08,0,2025-01-30 14:31:11,2
213,1,246.0,0.0,0.33,46.28,46.28,76.41,15.28,0.07,1,1,0.14,0.08,0,2025-01-30 14:35:31,2
